credit_score,country,age_group_gender,balance_per_age,balance_per_tenure,salary_per_products,active_member,churn
0.5379999999999999,0,7,0.27272181811213736,0.19626720483170668,0.5067899865152464,1,1
0.5159999999999999,1,7,0.192733969417807,0.20628151090202598,0.5627699176171774,1,0
0.30399999999999994,0,7,0.36643812022872635,0.08265413702152459,0.18986682080480835,0,1
0.6980000000000001,0,5,0.2944167907488935,0.2984547812551482,0.2345565714518905,0,0
0.9999999999999999,1,7,0.2791991090650576,0.20593877574919275,0.39544334953197446,1,0
0.59,1,6,0.24623481034915654,0.05655859366428566,0.37441032958930215,0,1
0.9440000000000001,0,8,0.2275962750276844,0.06853273430240484,0.025104226283006986,1,0
0.051999999999999935,2,3,0.38281475591454406,0.10961279244419377,0.1491561576873998,0,1
0.30199999999999994,0,6,0.30979900448507014,0.1372447768290549,0.18733160311335575,1,0
0.668,0,2,0.48345788536570644,0.22144612166560723,0.35864398510175777,1,0
0.356,0,4,0.3159697005527017,0.06645481427502871,0.20043582899628104,0,0
0.29399999999999993,1,2,0.4842478013205104,0.14517341661998595,0.19095611823934447,0,0
0.252,0,5,0.3390829108833916,0.04763073003397361,0.06560794714280657,0,0
0.398,0,3,0.46450537622106225,0.09407962840826518,0.47718401597606236,0,0
0.57,1,5,0.32912874696770356,0.06853273430240484,0.16485488836820478,1,0
0.5319999999999999,2,6,0.30507624437270175,0.17496221249863708,0.16079308394774214,1,0
0.606,2,8,0.21667031212782054,0.33110438474290516,0.025435643958496325,0,1
0.398,1,3,0.4842478013205104,0.053204597838888604,0.03596546914880019,1,0
0.47399999999999987,1,6,0.25391950849361533,0.07948140320491642,0.7935281884560828,0,0
0.7519999999999999,0,3,0.4842478013205104,0.07948140320491642,0.1367801054975426,1,0
0.7639999999999999,0,6,0.27960071187501123,0.060017102933784705,0.4272447683817036,1,0
0.572,1,5,0.3608576444489594,0.060017102933784705,0.3464014851832744,0,0
0.31999999999999995,1,5,0.30240967540454056,0.11451714369295349,0.5946311736856666,0,1
0.638,0,6,0.24819706643580422,0.14517341661998595,0.021165797055758787,1,0
0.9919999999999999,0,5,0.30240967540454056,0.09407962840826518,0.9382144833975098,1,0
0.45399999999999985,0,2,0.46450537622106225,0.14517341661998595,0.31127638763835574,1,0
0.8119999999999999,2,4,0.36633797382289457,0.22521806723773466,0.8503254864643361,1,0
0.44200000000000006,0,6,0.25990206155405415,0.053204597838888604,0.09604508740684849,0,0
0.44800000000000006,2,7,0.3156073487886538,0.17268552300266712,0.5009815504325983,1,0
0.122,0,2,0.194160187751371,0.2973155283792392,0.13367742192955803,1,0
0.4819999999999999,1,5,0.2944167907488935,0.14517341661998595,0.23410553768412845,0,1
0.366,0,4,0.2249250749498984,0.04645116255722911,0.783761694137943,1,0
0.406,2,6,0.25615017289620845,0.04822798007223412,0.20473093105612167,0,0
0.33999999999999997,1,7,0.27272181811213736,0.07948140320491642,0.08598603334800968,1,0
0.7439999999999999,1,3,0.3991511414090959,0.053204597838888604,0.3550972858657738,1,0
0.25,0,7,0.28560312955808065,0.6788155669782289,0.1390854512491451,0,1
0.2799999999999999,1,4,0.4538525710956106,0.17768764509439813,0.570392424133008,1,0
0.908,1,4,0.21997150920048195,0.040846926070826364,0.4923098796774301,1,0
0.9999999999999999,0,4,0.3197275921584425,0.06853273430240484,0.2040482666560512,1,0
0.46399999999999986,2,6,0.1602880561974351,0.043309619168708166,0.44521811353878465,1,0
0.244,1,6,0.2868235503260288,0.11451714369295349,0.3507848302623396,0,0
0.22999999999999998,0,9,0.22815026018109677,0.06154209273830784,0.9066154808811959,0,1
0.41200000000000003,0,11,0.18095305176557616,0.19213954597810465,0.470807388868807,1,0
0.9679999999999999,0,7,0.2557399621978428,0.21597293272849835,0.9719693761466092,0,1
0.62,1,11,0.2433573644029596,0.12485486438793539,0.7917957346890236,1,0
0.852,2,5,0.32867595857905274,0.10385642790282877,0.3163003385291277,1,0
0.9580000000000001,2,3,0.40087464042080034,0.0492170106827678,0.5986053852196619,1,1
0.574,2,5,0.34004759497734305,0.0624158851839796,0.5881762055811797,1,1
0.4,2,4,0.25962494907720535,0.16821618208354278,0.4544255436960228,1,0
0.852,2,5,0.2679029236068736,0.1688605521395039,0.48528899601298586,0,0
0.6960000000000001,2,6,0.2520926530143799,0.04601385768328729,0.495191118026301,0,0
0.46999999999999986,2,4,0.39169515595980964,0.11643004652229923,0.21604764192848183,0,0
0.876,0,5,0.3496403574606366,0.09407962840826518,0.29244729273717696,0,0
0.61,2,6,0.29339617613613844,0.06327003705389317,0.8203143081817308,0,1
0.5019999999999999,2,6,0.2224902213312487,0.2438546258586854,0.20005675158867442,0,1
0.5379999999999999,0,6,0.2785120271270983,0.31219751950044833,0.5671103539342734,1,0
0.612,0,6,0.2715460823629561,0.10092231688986053,0.43556889316798497,0,0
0.7499999999999999,2,0,0.38548224621245153,0.380152297174247,0.22805741932502618,0,0
0.32199999999999995,1,11,0.1701637656474716,0.11451714369295349,0.008159316132354226,0,1
0.5279999999999999,0,8,0.06954141144634818,0.03352362388917053,0.23386625548937093,1,0
0.7839999999999999,2,4,0.37718765939395127,0.10859032737741636,0.422576240068222,0,0
0.674,2,3,0.5483472545420932,0.06982676159478975,0.3162437269690471,0,0
0.41000000000000003,1,4,0.15867641035682925,0.1353626804275381,0.4470287082622272,0,0
0.668,1,8,0.12961117642926265,0.03663456830014483,0.49703539462758295,1,0
0.5059999999999999,2,2,0.40570484961504405,0.10359574658461473,0.46424024785861273,1,0
0.8019999999999999,2,5,0.4569885689981187,0.11601977125847274,0.06935216171142149,1,0
0.46199999999999986,2,5,0.28615287371503173,0.25188022557272316,0.5522124117744843,0,0
0.7699999999999999,2,6,0.27384127215701115,0.0491843473794552,0.4917257103900617,1,0
0.622,2,5,0.4163540416688696,0.1204160544738048,0.28414224684680617,1,0
0.65,0,3,0.4537168660931993,0.04781412045408784,0.09097567723329104,0,0
0.7759999999999999,2,8,0.21861747416901178,0.21998213418191231,0.035416657081376014,0,1
0.926,0,2,0.3991511414090959,0.07948140320491642,0.1697461121561023,0,0
0.614,1,5,0.4277578877885537,0.8289413405639453,0.22100497921675608,1,0
0.5079999999999999,2,3,0.6145158401123344,0.1264321333690028,0.1460389461528044,1,0
0.33799999999999997,0,4,0.3197275921584425,0.053204597838888604,0.3639224129567258,1,0
0.7699999999999999,0,3,0.8318896359339293,0.44907227413536843,0.05592351958269879,0,0
0.628,0,8,0.20605908401010462,0.060017102933784705,0.3479172447013681,1,0
0.656,0,5,0.3608576444489594,0.053204597838888604,0.741146642144326,1,0
0.814,1,4,0.22208204196510092,0.05776604851057357,0.9713385973415772,1,0
0.132,2,7,0.28526609825067295,0.04872372536177496,0.24574630639576603,0,0
0.63,0,5,0.27165330567933077,0.23912166776741053,0.4285637627203475,0,0
0.854,0,5,0.3608576444489594,0.19626720483170668,0.6823723904421283,0,1
0.386,0,5,0.3197275921584425,0.14517341661998595,0.06500434888804295,0,0
0.31199999999999994,0,5,0.25322782151996637,0.08429866772659454,0.7962811506109548,1,0
0.2859999999999999,0,7,0.24819706643580422,0.11451714369295349,0.004712212233738129,0,0
0.604,1,13,0.14862657462989182,0.04763073003397361,0.2866900171014921,1,0
0.7999999999999999,1,2,0.5373934863895966,0.14752959928564013,0.6432902098608536,0,1
0.7579999999999999,0,4,0.38553567582326964,0.053204597838888604,0.3796930083122974,0,0
0.592,0,7,0.24819706643580422,0.11451714369295349,0.15539286455627574,0,1
0.57,2,3,0.2788308939962293,0.0962930857669551,0.39200054651159766,1,0
0.594,1,7,0.25990206155405415,0.09407962840826518,0.2903434214599955,1,1
0.916,0,6,0.2512548013797318,0.06775689887303456,0.3678483646360587,0,0
0.348,0,5,0.3197275921584425,0.04763073003397361,0.27403448284139625,0,0
0.838,0,2,0.3991511414090959,0.060017102933784705,0.43075658549475804,1,0
0.7599999999999999,1,6,0.27272181811213736,0.11451714369295349,0.21494216619033607,1,0
0.32999999999999996,1,4,0.48850582590556735,0.07387888746063269,0.6064548380779355,1,0
0.846,1,6,0.23858700984079384,0.044500767261507986,0.3229843033947532,1,0
0.928,2,2,0.3215983781402676,0.0470825814867876,0.49323314320784306,1,0
0.7199999999999999,1,2,0.5291169492738017,0.060017102933784705,0.24910556735685427,0,0
0.126,0,4,0.3390829108833916,0.053204597838888604,0.016280874554584046,0,0
0.63,0,7,0.2868235503260288,0.07948140320491642,0.8093475187633314,1,0
0.5459999999999999,0,7,0.25990206155405415,0.07948140320491642,0.41793351702417636,0,0
0.7759999999999999,0,4,0.25429549613966596,0.034189913509839666,0.20983854903171228,0,0
0.356,1,4,0.3197275921584425,0.06853273430240484,0.15131439840015332,0,0
0.64,1,11,0.17292494398305874,0.2984547812551482,0.8884019116703631,1,1
0.5439999999999999,1,7,0.22076475713071833,0.10145399722382877,0.07741938403822061,1,1
0.46399999999999986,2,4,0.2654079347209358,0.2194065430915369,0.05022500594621422,1,0
0.87,2,5,0.26472399482086195,0.16210310830444474,0.18486244891206785,1,0
0.5099999999999999,1,4,0.44025683142763006,0.1198765241626833,0.359329425068599,0,0
