iter	Logloss
0	0.5769535501
1	0.5485802768
2	0.5227309236
3	0.5131397097
4	0.5018202994
5	0.4950915876
6	0.487393345
7	0.4802655869
8	0.4732285861
9	0.4639953744
10	0.4574221742
11	0.4526014591
12	0.4463276536
13	0.442778358
14	0.4387029282
15	0.4365321104
16	0.4321209869
17	0.4255264889
18	0.4209092455
19	0.4162651816
20	0.4116600688
21	0.4070870379
22	0.4017605181
23	0.3960976213
24	0.3909276308
25	0.3887278578
26	0.384298577
27	0.3798833997
28	0.3759764804
29	0.373317597
30	0.3694024461
31	0.3645644757
32	0.3606215621
33	0.3565432405
34	0.3530131267
35	0.3507592591
36	0.3464300038
37	0.3415005458
38	0.3391582994
39	0.3352800181
40	0.3316726541
41	0.3274514167
42	0.3248472403
43	0.3234378878
44	0.3202306197
45	0.3148864883
46	0.3110500695
47	0.3081678129
48	0.3063534502
49	0.3034704208
50	0.3013232472
51	0.2976392976
52	0.2955666929
53	0.2941369723
54	0.2909195526
55	0.2890356703
56	0.2852628742
57	0.2824647353
58	0.2807705605
59	0.279068827
60	0.2770176326
61	0.2741414285
62	0.2705922455
63	0.2672729566
64	0.2653723431
65	0.2631257754
66	0.260693199
67	0.2586176348
68	0.2572016478
69	0.2542152634
70	0.2528234691
71	0.2507662647
72	0.2488439711
73	0.2457959337
74	0.2441231217
75	0.2420500426
76	0.2403218443
77	0.23820805
78	0.2364686848
79	0.2349466924
80	0.2327509903
81	0.2306585543
82	0.2281651902
83	0.2256273837
84	0.2237814413
85	0.2221878651
86	0.2202327322
87	0.218819121
88	0.2172888602
89	0.2138893703
90	0.2115410472
91	0.210117869
92	0.2072484788
93	0.2050692792
94	0.2040609059
95	0.2022408849
96	0.2005938387
97	0.1984689049
98	0.196725646
99	0.1950642802
100	0.193983531
101	0.1917386856
102	0.1899612228
103	0.1885781606
104	0.1867442565
105	0.185886691
106	0.184086635
107	0.1827009526
108	0.1812130831
109	0.179607347
110	0.1780075496
111	0.1770748532
112	0.1754067393
113	0.174419421
114	0.172463798
115	0.1714593149
116	0.1703571709
117	0.169257309
118	0.168295357
119	0.1665816011
120	0.1648402192
121	0.1631871339
122	0.1623074407
123	0.1608428738
124	0.1598500214
125	0.1588852405
126	0.1576477521
127	0.1559323374
128	0.1547524244
129	0.1532349425
130	0.1520783462
131	0.1512787935
132	0.1499657382
133	0.1490139653
134	0.1484039939
135	0.1473502574
136	0.1463721967
137	0.1446549336
138	0.1439395063
139	0.1430067387
140	0.1419578135
141	0.140761687
142	0.13962742
143	0.1386463416
144	0.137484271
145	0.1361501545
146	0.1354946193
147	0.134308302
148	0.1330145893
149	0.1321765603
150	0.1316101456
151	0.1306501106
152	0.1300398713
153	0.1286395863
154	0.1275859853
155	0.1266274415
156	0.126076974
157	0.1254287138
158	0.1240327122
159	0.1231932031
160	0.1223054713
161	0.1215069318
162	0.1205734347
163	0.1190187107
164	0.1177177518
165	0.1168166619
166	0.1162088511
167	0.1153293562
168	0.11489358
169	0.1143109906
170	0.1134862755
171	0.1128971156
172	0.1122519772
173	0.1114414932
174	0.1102227803
175	0.1096945104
176	0.108552751
177	0.1079591992
178	0.1068914646
179	0.1060921469
180	0.1052929012
181	0.1042438058
182	0.1030063244
183	0.1019578715
184	0.1013447588
185	0.1003529311
186	0.09983704093
187	0.09901260832
188	0.09794848301
189	0.09736589452
190	0.09673440368
191	0.09605036575
192	0.09548476401
193	0.0948545219
194	0.09445225252
195	0.09359216191
196	0.09279974794
197	0.09214351725
198	0.09105800532
199	0.0904851259
200	0.08955236196
201	0.08886745384
202	0.0884779157
